"id","renda_per_capita","x","x2","elegivel","recebe_bolsa","freq_escolar","num_filhos","escolaridade_resp","area_urbana"
1,85.4807272050148,-132.519272794985,-23.5192727949852,1,0,77.8,1,7.8,1
2,139.428118879115,-78.5718811208849,30.4281188791151,1,1,81.6,1,6.3,0
3,159.242103290769,-58.7578967092308,50.2421032907692,1,1,77.2,3,5.6,1
4,142.331143882554,-75.6688561174465,33.3311438825535,1,0,93.1,1,4.9,0
5,109.428120426333,-108.571879573667,0.428120426333052,1,1,90.4,1,3.5,1
6,232.695153146385,14.695153146385,123.695153146385,0,0,71.7,3,6.4,1
7,110.093446490936,-107.906553509064,1.09344649093624,1,1,78.9,2,3.3,1
8,272.698703995415,54.6987039954154,163.698703995415,0,0,62.6,4,5.3,1
9,111.964771106027,-106.035228893973,2.96477110602737,1,1,79.8,3,6.3,1
10,214.945934452179,-3.05406554782104,105.945934452179,1,1,72.3,1,2.5,1
11,54.7078811330717,-163.292118866928,-54.2921188669283,1,1,92.3,6,6,0
12,99.807651600674,-118.192348399326,-9.19234839932604,1,1,82.4,3,3.5,1
13,107.863225703306,-110.136774296694,-1.13677429669416,1,0,86.2,2,6.9,1
14,159.479299884955,-58.5207001150453,50.4792998849547,1,1,86.9,5,7.3,0
15,99.5152903299097,-118.48470967009,-9.48470967009034,1,1,96.5,3,5.2,1
16,35.6118871332839,-182.388112866716,-73.3881128667161,1,1,78.1,2,6,1
17,98.3251933122556,-119.674806687744,-10.6748066877444,1,1,81.5,3,5.8,0
18,105.674412100664,-112.325587899336,-3.32558789933633,1,1,94.8,2,2.4,1
19,207.164684950109,-10.835315049891,98.164684950109,1,0,91.5,2,6.8,1
20,91.962424806299,-126.037575193701,-17.037575193701,1,1,100,1,6.8,1
21,100.966205347302,-117.033794652698,-8.03379465269792,1,1,100,0,3.4,1
22,45.5774757909929,-172.422524209007,-63.4225242090071,1,1,87.8,3,3.2,1
23,146.340293237541,-71.6597067624589,37.3402932375411,1,1,80,5,5.9,0
24,82.0307119435541,-135.969288056446,-26.9692880564459,1,0,80,6,3,0
25,164.828719860434,-53.171280139566,55.828719860434,1,1,100,2,5.6,1
26,191.822071598728,-26.1779284012721,82.8220715987279,1,1,77.5,6,6.5,1
27,83.4381836341914,-134.561816365809,-25.5618163658086,1,0,74.9,2,4.7,1
28,149.619030288718,-68.3809697112823,40.6190302887177,1,1,82.6,1,4.9,1
29,46.5505811616363,-171.449418838364,-62.4494188383637,1,1,98.7,3,3.8,1
30,75.7795221038453,-142.220477896155,-33.2204778961547,1,1,98.6,4,4.6,1
31,73.0646902090511,-144.935309790949,-35.9353097909489,1,1,86.2,2,4.1,1
32,35.8665045399908,-182.133495460009,-73.1334954600092,1,1,89.1,6,10.3,0
33,117.91978512003,-100.08021487997,8.91978512003047,1,1,95.2,4,6.4,0
34,128.745170021067,-89.2548299789335,19.7451700210665,1,0,89.9,4,7.5,0
35,95.4832048892436,-122.516795110756,-13.5167951107564,1,0,90,2,4.3,1
36,169.043227111394,-48.9567728886057,60.0432271113943,1,1,85.7,1,4.8,1
37,78.2209957408941,-139.779004259106,-30.7790042591059,1,1,97.9,4,10.7,1
38,55.2941473973552,-162.705852602645,-53.7058526026448,1,1,96.1,4,3.5,0
