id,renda_per_capita,x,x2,elegivel,recebe_bolsa,freq_escolar,num_filhos,escolaridade_resp,area_urbana
1,136.10299717006976,81.89700282993024,-27.102997170069756,1,1,100.0,2,9.8,1
2,104.5674198234718,113.4325801765282,4.432580176528205,1,0,80.8,0,3.3,1
3,154.78772620145142,63.21227379854858,-45.78772620145142,1,0,73.5,2,3.7,0
4,77.99027274299759,140.0097272570024,31.00972725700241,1,0,96.3,1,5.6,1
5,195.08492341848967,22.915076581510334,-86.08492341848967,1,1,86.2,1,8.7,1
6,63.283586278019406,154.7164137219806,45.716413721980594,1,1,90.0,3,7.3,1
7,182.9689925376171,35.03100746238289,-73.96899253761711,1,1,86.7,2,4.3,1
8,83.18111384182336,134.81888615817664,25.81888615817664,1,0,86.8,2,6.6,1
9,89.48714157400332,128.51285842599668,19.512858425996683,1,1,84.7,3,3.2,1
10,142.87103646406499,75.12896353593501,-33.871036464064986,1,1,100.0,1,4.3,1
11,193.04004121335976,24.959958786640243,-84.04004121335976,1,1,74.3,7,2.4,1
12,55.42912888279507,162.57087111720494,53.57087111720493,1,1,99.9,3,7.6,1
13,137.37863783518827,80.62136216481173,-28.37863783518827,1,0,64.5,5,5.8,1
14,111.99623218511472,106.00376781488528,-2.996232185114721,1,1,77.6,1,6.1,0
15,70.31284232845508,147.68715767154492,38.687157671544924,1,0,67.6,4,8.5,1
16,135.97645500144228,82.02354499855772,-26.976455001442275,1,1,77.4,1,4.0,1
17,69.83703642982739,148.16296357017262,39.16296357017261,1,0,67.3,2,7.7,1
18,127.93031052755042,90.06968947244958,-18.930310527550418,1,1,91.9,1,11.5,1
19,79.74312037756377,138.25687962243623,29.25687962243623,1,1,77.7,3,4.0,1
20,92.32026435167731,125.67973564832269,16.67973564832269,1,1,94.1,3,2.6,0
21,109.02254642485435,108.97745357514565,-0.02254642485435454,1,1,87.9,3,3.4,1
22,147.00429910994674,70.99570089005326,-38.00429910994674,1,1,86.9,0,7.5,0
23,76.09364100218261,141.9063589978174,32.90635899781739,1,1,91.5,2,10.9,0
24,121.65070535949619,96.34929464050381,-12.650705359496186,1,1,95.2,2,10.8,1
25,90.99416437967881,127.00583562032119,18.005835620321193,1,1,96.9,2,8.6,0
26,85.1630628264692,132.8369371735308,23.8369371735308,1,1,84.5,3,8.7,1
27,140.34722617064423,77.65277382935577,-31.347226170644234,1,1,80.7,4,7.7,1
28,90.62902993916309,127.37097006083691,18.37097006083691,1,1,91.9,2,8.3,1
29,85.90185135864584,132.09814864135416,23.098148641354157,1,0,92.4,2,7.3,1
30,115.05608992619673,102.94391007380327,-6.056089926196734,1,1,71.8,4,4.5,0
31,60.11979091986365,157.88020908013635,48.88020908013635,1,1,92.7,2,10.8,0
32,92.31881674957022,125.68118325042978,16.681183250429783,1,1,98.6,2,9.8,0
33,122.89131220785426,95.10868779214574,-13.891312207854256,1,1,90.0,2,4.6,1
34,43.31574003678102,174.68425996321898,65.68425996321898,1,0,84.1,1,8.1,1
35,67.37376403366358,150.62623596633642,41.626235966336424,1,1,95.7,0,10.2,1
36,93.30099604745588,124.69900395254412,15.699003952544118,1,1,100.0,2,7.5,1
37,137.4566266274087,80.5433733725913,-28.456626627408696,1,1,90.7,5,6.0,1
38,225.67267990803063,-7.672679908030631,-116.67267990803063,0,0,64.9,4,10.1,1
39,78.6798078170342,139.3201921829658,30.320192182965798,1,1,86.6,3,7.1,1
40,50.827288640965676,167.17271135903434,58.172711359034324,1,0,78.0,4,4.9,1
41,53.0544242429463,164.9455757570537,55.9455757570537,1,0,86.0,1,3.6,1
